text,neutral,positive,negative,compound,Sentiment
rt philsadg with dr arijit roy indian institute remote sensing isro amp program coordinator centre for space science t ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
noname06401912 celiarichards0n docrussjackson mrjamesob peterjukes sathnam campbellclaret bylinetimes ,0.0,1.0,0.0,0.0,Neutral
for promotion neo nest programs rkvy raftaar scheme 7thcohort team naavic visited ambedka ,0.0,1.0,0.0,0.0,Neutral
position research associate postdoctoral fellow indian institute technology gandhinagar mathematics stati ,0.0,1.0,0.0,0.0,Neutral
kurukshetra university sakshi amp mansheetal singh indian institute technology shashwat srivastava amp rohan ,0.0,1.0,0.0,0.0,Neutral
here schedule compose camp session 1 1st october 5 5 50pm session 2 1st october 6 6 50pm session 3 ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt pbns_india indian institute technology iit kanpur end gate registration 2023 russian president vladimir putin announc ,0.0,1.0,0.0,0.0,Neutral
with dr arijit roy indian institute remote sensing isro amp program coordinator centre for space sci ,0.0,1.0,0.0,0.0,Neutral
iit delhi launch certificate programme machinelearning deeplearning the indian institute technology ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt carlesdijous iit delhi launch certificate programme machinelearning deeplearning the indian institute technology delhi ,0.0,1.0,0.0,0.0,Neutral
rt httweets indian institute technology kanpur close registration process gate2023 today ,0.0,1.0,0.0,0.0,Neutral
rt carlesdijous iit delhi launch certificate programme machinelearning deeplearning the indian institute technology delhi ,0.0,1.0,0.0,0.0,Neutral
rt httweets indian institute technology kanpur close registration process gate2023 today ,0.0,1.0,0.0,0.0,Neutral
indian institute technology kanpur close registration process gate2023 today ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
dsc iit patna organizing android compose camp 1st 2nd october 2022 5 pm to 7 pm online mode ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
